Point{id=id36574, cat=RESTAURANT, lat=-37.2373623277, lon=142.9891183265}
Point{id=id32038, cat=RESTAURANT, lat=-37.2248951654, lon=142.9772261917}
Point{id=id41919, cat=RESTAURANT, lat=-37.2391206464, lon=142.9969644473}
Point{id=id27913, cat=RESTAURANT, lat=-37.2650161329, lon=142.9564147239}
Point{id=id18881, cat=RESTAURANT, lat=-37.2684985628, lon=142.9678769394}
Point{id=id7628, cat=RESTAURANT, lat=-37.2142413204, lon=142.972259595}
Point{id=id53791, cat=RESTAURANT, lat=-37.2212677261, lon=142.992582878}
Point{id=id2313, cat=RESTAURANT, lat=-37.2040205079, lon=142.9667693549}
Point{id=id15892, cat=RESTAURANT, lat=-37.2421734577, lon=143.019469918}
Point{id=id48368, cat=RESTAURANT, lat=-37.2443949477, lon=143.023576494}
Point{id=id46165, cat=RESTAURANT, lat=-37.2170608872, lon=143.0148086976}
Point{id=id73332, cat=RESTAURANT, lat=-37.276687245, lon=143.0054857139}
Point{id=id85250, cat=RESTAURANT, lat=-37.250722287, lon=142.9120845613}
Point{id=id2897, cat=RESTAURANT, lat=-37.2056823028, lon=142.9246483094}
Point{id=id28412, cat=RESTAURANT, lat=-37.2492470201, lon=142.9060286038}
Point{id=id36493, cat=RESTAURANT, lat=-37.1933885929, lon=142.99551914}
Point{id=id17160, cat=RESTAURANT, lat=-37.285927285, lon=142.9299472453}
Point{id=id76853, cat=RESTAURANT, lat=-37.2024442844, lon=142.9197134965}
Point{id=id33840, cat=RESTAURANT, lat=-37.1862521174, lon=142.952617124}
Point{id=id67345, cat=RESTAURANT, lat=-37.2833827076, lon=142.9207673274}
Point{id=id76163, cat=RESTAURANT, lat=-37.2672989969, lon=143.0349455874}
Point{id=id41335, cat=RESTAURANT, lat=-37.1888956059, lon=143.0104128162}
Point{id=id49262, cat=RESTAURANT, lat=-37.2429184032, lon=143.0476159174}
Point{id=id13590, cat=RESTAURANT, lat=-37.2009229353, lon=143.0303771562}
Point{id=id47353, cat=RESTAURANT, lat=-37.2929270452, lon=143.0164084412}
Point{id=id15846, cat=RESTAURANT, lat=-37.1926217432, lon=142.9163778742}
Point{id=id22332, cat=RESTAURANT, lat=-37.2299684883, lon=143.0484087354}
Point{id=id71864, cat=RESTAURANT, lat=-37.2077783962, lon=143.0393580707}
Point{id=id27740, cat=RESTAURANT, lat=-37.2940335324, lon=143.0199851205}
Point{id=id35251, cat=RESTAURANT, lat=-37.1990390043, lon=143.0334730195}
Point{id=id23913, cat=RESTAURANT, lat=-37.2695967921, lon=143.0448869041}
Point{id=id12642, cat=RESTAURANT, lat=-37.2992874313, lon=143.0115134872}
Point{id=id2191, cat=RESTAURANT, lat=-37.2926098374, lon=142.9111775063}
Point{id=id92734, cat=RESTAURANT, lat=-37.1746376287, lon=142.9888633262}
Point{id=id95933, cat=RESTAURANT, lat=-37.3059960636, lon=142.92864726}
Point{id=id92560, cat=RESTAURANT, lat=-37.2128522492, lon=142.883077367}
Point{id=id83210, cat=RESTAURANT, lat=-37.3163109918, lon=142.9644605724}
Point{id=id36089, cat=RESTAURANT, lat=-37.2552493507, lon=143.0623767923}
Point{id=id74255, cat=RESTAURANT, lat=-37.2464088676, lon=142.8725698283}
Point{id=id95420, cat=RESTAURANT, lat=-37.3139551585, lon=143.002325221}
Point{id=id52211, cat=RESTAURANT, lat=-37.3099518844, lon=142.9235998192}
Point{id=id53147, cat=RESTAURANT, lat=-37.3153444305, lon=142.9371880142}
Point{id=id40358, cat=RESTAURANT, lat=-37.3109381431, lon=142.9232455466}
Point{id=id69407, cat=RESTAURANT, lat=-37.2938892249, lon=142.8939740884}
Point{id=id79305, cat=RESTAURANT, lat=-37.2330013484, lon=143.067789707}
Point{id=id15109, cat=RESTAURANT, lat=-37.3068578971, lon=142.9122557563}
Point{id=id94312, cat=RESTAURANT, lat=-37.2436514133, lon=143.0686915607}
Point{id=id90050, cat=RESTAURANT, lat=-37.3221385706, lon=142.9639180655}
Point{id=id25501, cat=RESTAURANT, lat=-37.210034247, lon=143.0622477492}
Point{id=id41248, cat=RESTAURANT, lat=-37.2728955047, lon=142.8736517631}
Point{id=id98295, cat=RESTAURANT, lat=-37.3222245717, lon=142.9921579418}
Point{id=id36999, cat=RESTAURANT, lat=-37.1930552623, lon=142.8840639515}
Point{id=id31863, cat=RESTAURANT, lat=-37.2541047857, lon=143.0724673716}
Point{id=id48426, cat=RESTAURANT, lat=-37.3135255533, lon=142.9155289612}
Point{id=id33916, cat=RESTAURANT, lat=-37.15881114, lon=142.9877261373}
Point{id=id82203, cat=RESTAURANT, lat=-37.1826980681, lon=143.0451422868}
Point{id=id87055, cat=RESTAURANT, lat=-37.2212722975, lon=142.8648880656}
Point{id=id47278, cat=RESTAURANT, lat=-37.1563370741, lon=142.9608835072}
Point{id=id28360, cat=RESTAURANT, lat=-37.29006476, lon=143.0575167908}
Point{id=id88922, cat=RESTAURANT, lat=-37.1674902102, lon=143.0262634496}
Point{id=id78265, cat=RESTAURANT, lat=-37.157104099, lon=143.0008606874}
Point{id=id43422, cat=RESTAURANT, lat=-37.1715863161, lon=143.0368037615}
Point{id=id56230, cat=RESTAURANT, lat=-37.1548920503, lon=142.9410778962}
Point{id=id96899, cat=RESTAURANT, lat=-37.1575056413, lon=142.9283047821}
Point{id=id32473, cat=RESTAURANT, lat=-37.1977734576, lon=143.06820698}
Point{id=id19367, cat=RESTAURANT, lat=-37.1811734326, lon=143.0539231717}
Point{id=id24534, cat=RESTAURANT, lat=-37.3026247697, lon=143.0564155544}
Point{id=id60562, cat=RESTAURANT, lat=-37.1479332893, lon=142.9631632576}
Point{id=id99208, cat=RESTAURANT, lat=-37.1488403607, lon=142.9885044566}
Point{id=id81594, cat=RESTAURANT, lat=-37.1922937067, lon=142.862598098}
Point{id=id78847, cat=RESTAURANT, lat=-37.3283575476, lon=143.0264970668}
